Event,Date,Fight Number,Division,Weightclass,Fighter,Opponent,Result,Method,Round,Time,Sig Strikes,Takedowns,Sub Attempts,Guard Passes,Url
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,0,Welterweight,170,Rafael Dos Anjos,Robbie Lawler,1,U-DEC,5,5:00,172,2,0,1,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,0,Welterweight,170,Robbie Lawler,Rafael Dos Anjos,0,U-DEC,5,5:00,86,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,1,Featherweight,145,Josh Emmett,Ricardo Lamas,1,KO/TKO  Punch,1,4:33,10,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,1,Featherweight,145,Ricardo Lamas,Josh Emmett,0,KO/TKO  Punch,1,4:33,17,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,2,Welterweight,170,Santiago Ponzinibbio,Mike Perry,1,U-DEC,3,5:00,78,3,0,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,2,Welterweight,170,Mike Perry,Santiago Ponzinibbio,0,U-DEC,3,5:00,51,1,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,3,Light Heavyweight,205,Glover Teixeira,Misha Cirkunov,1,KO/TKO  Punches,1,2:45,13,1,1,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,3,Light Heavyweight,205,Misha Cirkunov,Glover Teixeira,0,KO/TKO  Punches,1,2:45,21,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,4,Light Heavyweight,205,Jan Blachowicz,Jared Cannonier,1,U-DEC,3,5:00,50,4,0,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,4,Light Heavyweight,205,Jared Cannonier,Jan Blachowicz,0,U-DEC,3,5:00,26,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,5,Middleweight,185,Julian Marquez,Darren Stewart,1,SUB  Guillotine Choke,2,2:42,32,0,3,1,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,5,Middleweight,185,Darren Stewart,Julian Marquez,0,SUB  Guillotine Choke,2,2:42,33,4,0,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,6,Welterweight,170,Chad Laprise,Galore Bofando,1,KO/TKO  Punches,1,4:10,20,1,0,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,6,Welterweight,170,Galore Bofando,Chad Laprise,0,KO/TKO  Punches,1,4:10,13,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,7,Welterweight,170,Nordine Taleb,Danny Roberts,1,KO/TKO  Kick,1,0:59,5,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,7,Welterweight,170,Danny Roberts,Nordine Taleb,0,KO/TKO  Kick,1,0:59,1,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,8,Lightweight,155,Abel Trujillo,John Makdessi,0,U-DEC,3,5:00,29,1,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,8,Lightweight,155,John Makdessi,Abel Trujillo,1,U-DEC,3,5:00,47,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,9,Middleweight,185,Oluwale Bamgbose,Alessio Di Chirico,0,KO/TKO  Knee,2,2:14,10,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,9,Middleweight,185,Alessio Di Chirico,Oluwale Bamgbose,1,KO/TKO  Knee,2,2:14,6,1,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,10,Welterweight,170,Jordan Mein,Erick Silva,1,U-DEC,3,5:00,51,3,1,4,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,10,Welterweight,170,Erick Silva,Jordan Mein,0,U-DEC,3,5:00,13,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Swanson vs. Ortega,12/9/2017,0,Featherweight,145,Brian Ortega,Cub Swanson,1,SUB  Guillotine Choke,2,3:22,24,0,2,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,0,Featherweight,145,Cub Swanson,Brian Ortega,0,SUB  Guillotine Choke,2,3:22,60,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,1,Featherweight,145,Gabriel Benitez,Jason Knight,1,U-DEC,3,5:00,85,0,0,1,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,1,Featherweight,145,Jason Knight,Gabriel Benitez,0,U-DEC,3,5:00,36,1,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,2,Bantamweight,135,Marlon Moraes,Aljamain Sterling,1,KO/TKO  Knee,1,1:07,7,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,2,Bantamweight,135,Aljamain Sterling,Marlon Moraes,0,KO/TKO  Knee,1,1:07,3,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,3,Lightweight,155,Scott Holtzman,Darrell Horcher,1,U-DEC,3,5:00,49,7,0,5,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,3,Lightweight,155,Darrell Horcher,Scott Holtzman,0,U-DEC,3,5:00,36,1,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,4,Middleweight,185,Eryk Anders,Markus Perez,1,U-DEC,3,5:00,79,2,0,3,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,4,Middleweight,185,Markus Perez,Eryk Anders,0,U-DEC,3,5:00,30,2,1,1,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,5,Bantamweight,135,Benito Lopez,Albert Morales,1,U-DEC,3,5:00,78,0,1,1,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,5,Bantamweight,135,Albert Morales,Benito Lopez,0,U-DEC,3,5:00,78,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,6,Women's Flyweight,125,Liz Carmouche,Alexis Davis,0,S-DEC,3,5:00,49,4,0,2,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,6,Women's Flyweight,125,Alexis Davis,Liz Carmouche,1,S-DEC,3,5:00,23,1,2,2,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,7,Bantamweight,135,Andre Soukhamthath,Luke Sanders,1,KO/TKO  Punches,2,1:06,20,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,7,Bantamweight,135,Luke Sanders,Andre Soukhamthath,0,KO/TKO  Punches,2,1:06,23,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,8,Bantamweight,135,Carls John De Tomas,Alex Perez,0,SUB  Anaconda Choke,2,1:54,8,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,8,Bantamweight,135,Alex Perez,Carls John De Tomas,1,SUB  Anaconda Choke,2,1:54,24,2,3,1,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,9,Bantamweight,135,Merab Dvalishvili,Frankie Saenz,0,S-DEC,3,5:00,47,11,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,9,Bantamweight,135,Frankie Saenz,Merab Dvalishvili,1,S-DEC,3,5:00,58,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,10,Bantamweight,135,Iuri Alcantara,Alejandro Perez,0,U-DEC,3,5:00,38,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,10,Bantamweight,135,Alejandro Perez,Iuri Alcantara,1,U-DEC,3,5:00,35,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,11,Lightweight,155,Chris Gruetzemacher,Davi Ramos,0,SUB  Rear Naked Choke,3,0:50,46,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,11,Lightweight,155,Davi Ramos,Chris Gruetzemacher,1,SUB  Rear Naked Choke,3,0:50,55,5,1,5,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,12,Middleweight,185,Trevin Giles,Antonio Braga Neto,1,KO/TKO  Punches,3,2:27,70,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,12,Middleweight,185,Antonio Braga Neto,Trevin Giles,0,KO/TKO  Punches,3,2:27,18,2,0,2,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC 218: Holloway vs. Aldo 2,12/2/2017,0,Featherweight,145,Max Holloway,Jose Aldo,1,KO/TKO  Punches,3,4:51,174,0,0,1,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,0,Featherweight,145,Jose Aldo,Max Holloway,0,KO/TKO  Punches,3,4:51,87,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,1,Heavyweight,265,Francis Ngannou,Alistair Overeem,1,KO/TKO  Punch,1,1:42,6,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,1,Heavyweight,265,Alistair Overeem,Francis Ngannou,0,KO/TKO  Punch,1,1:42,1,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,2,Flyweight,125,Henry Cejudo,Sergio Pettis,1,U-DEC,3,5:00,36,3,0,3,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,2,Flyweight,125,Sergio Pettis,Henry Cejudo,0,U-DEC,3,5:00,25,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,3,Lightweight,155,Eddie Alvarez,Justin Gaethje,1,KO/TKO  Knee,3,3:59,155,1,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,3,Lightweight,155,Justin Gaethje,Eddie Alvarez,0,KO/TKO  Knee,3,3:59,122,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,4,Women's Strawweight,115,Tecia Torres,Michelle Waterson,1,U-DEC,3,5:00,95,1,0,1,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,4,Women's Strawweight,115,Michelle Waterson,Tecia Torres,0,U-DEC,3,5:00,56,2,0,4,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,5,Lightweight,155,Paul Felder,Charles Oliveira,1,KO/TKO  Elbows,2,4:06,31,0,0,2,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,5,Lightweight,155,Charles Oliveira,Paul Felder,0,KO/TKO  Elbows,2,4:06,6,2,2,2,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,6,Welterweight,170,Alex Oliveira,Yancy Medeiros,0,KO/TKO  Punches,3,2:02,93,2,0,1,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,6,Welterweight,170,Yancy Medeiros,Alex Oliveira,1,KO/TKO  Punches,3,2:02,75,1,0,2,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,7,Lightweight,155,David Teymur,Drakkar Klose,1,U-DEC,3,5:00,52,1,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,7,Lightweight,155,Drakkar Klose,David Teymur,0,U-DEC,3,5:00,39,2,0,1,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,8,Women's Strawweight,115,Cortney Casey,Felice Herrig,0,S-DEC,3,5:00,91,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,8,Women's Strawweight,115,Felice Herrig,Cortney Casey,1,S-DEC,3,5:00,76,1,0,1,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,9,Women's Strawweight,115,Angela Magana,Amanda Cooper,0,KO/TKO  Punches,2,4:34,12,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,9,Women's Strawweight,115,Amanda Bobby Cooper,Angela Magana,1,KO/TKO  Punches,2,4:34,40,1,1,9,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,10,Welterweight,170,Sabah Homasi,Abdul Razak Alhassan,0,KO/TKO  Punches,1,4:21,39,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,10,Welterweight,170,Abdul Razak Alhassan,Sabah Homasi,1,KO/TKO  Punches,1,4:21,27,1,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,11,Light Heavyweight,205,Jeremy Kimball,Dominick Reyes,0,SUB  Rear Naked Choke,1,3:39,4,1,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,11,Light Heavyweight,205,Dominick Reyes,Jeremy Kimball,1,SUB  Rear Naked Choke,1,3:39,16,1,1,2,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,12,Heavyweight,265,Justin Willis,Allen Crowder,1,KO/TKO  Punch,1,2:33,22,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,12/2/2017,12,Heavyweight,265,Allen Crowder,Justin Willis,0,KO/TKO  Punch,1,2:33,15,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
The Ultimate Fighter 26 Finale,12/1/2017,0,Women's Flyweight,125,Nicco Montano,Roxanne Modafferi,1,U-DEC,5,5:00,186,3,1,5,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,0,Women's Flyweight,125,Roxanne Modafferi,Nicco Montano,0,U-DEC,5,5:00,132,2,1,1,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,1,Bantamweight,135,Sean O'Malley,Terrion Ware,1,U-DEC,3,5:00,141,3,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,1,Bantamweight,135,Terrion Ware,Sean O'Malley,0,U-DEC,3,5:00,88,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,2,Women's Flyweight,125,Lauren Murphy,Barb Honchak,1,S-DEC,3,5:00,59,2,0,1,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,2,Women's Flyweight,125,Barb Honchak,Lauren Murphy,0,S-DEC,3,5:00,71,0,2,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,3,Middleweight,185,Gerald Meerschaert,Eric Spicely,1,KO/TKO  Kick,2,2:18,36,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,3,Middleweight,185,Eric Spicely,Gerald Meerschaert,0,KO/TKO  Kick,2,2:18,17,1,1,1,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,4,Women's Flyweight,125,DeAnna Bennett,Melinda Fabian,0,M-DEC,3,5:00,47,0,1,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,4,Women's Flyweight,125,Melinda Fabian,DeAnna Bennett,0,M-DEC,3,5:00,49,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,5,Bantamweight,135,Brett Johns,Joe Soto,1,SUB  Other - Lock,1,0:30,1,0,1,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,5,Bantamweight,135,Joe Soto,Brett Johns,0,SUB  Other - Lock,1,0:30,0,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,6,Women's Flyweight,125,Montana De La Rosa,Christina Marks,1,SUB  Armbar,1,2:00,6,0,1,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,6,Women's Flyweight,125,Christina Marks,Montana De La Rosa,0,SUB  Armbar,1,2:00,10,1,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,7,Middleweight,185,Ryan Janes,Andrew Sanchez,1,KO/TKO  Punch,3,0:58,159,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,7,Middleweight,185,Andrew Sanchez,Ryan Janes,0,KO/TKO  Punch,3,0:58,96,3,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,8,Women's Flyweight,125,Karine Gevorgyan,Rachael Ostovich,0,SUB  Armbar,1,1:40,2,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,8,Women's Flyweight,125,Rachael Ostovich,Karine Gevorgyan,1,SUB  Armbar,1,1:40,3,1,1,1,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,9,Women's Flyweight,125,Ariel Beck,Shana Dobson,0,KO/TKO  Punch,2,2:53,35,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,9,Women's Flyweight,125,Shana Dobson,Ariel Beck,1,KO/TKO  Punch,2,2:53,34,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,10,Women's Flyweight,125,Gillian Robertson,Emily Whitmire,1,SUB  Armbar,1,2:12,2,1,1,2,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,12/1/2017,10,Women's Flyweight,125,Emily Whitmire,Gillian Robertson,0,SUB  Armbar,1,2:12,9,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,0,Middleweight,185,Kelvin Gastelum,Michael Bisping,1,KO/TKO  Punch,1,2:30,14,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,0,Middleweight,185,Michael Bisping,Kelvin Gastelum,0,KO/TKO  Punch,1,2:30,7,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,1,Welterweight,170,Li Jingliang,Zak Ottow,1,KO/TKO  Punches,1,2:57,26,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,1,Welterweight,170,Zak Ottow,Li Jingliang,0,KO/TKO  Punches,1,2:57,5,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,2,Featherweight,145,Wang Guan,Alex Caceres,1,S-DEC,3,5:00,71,0,0,1,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,2,Featherweight,145,Alex Caceres,Wang Guan,0,S-DEC,3,5:00,49,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,3,Welterweight,170,Alex Garcia,Muslim Salikhov,1,SUB  Rear Naked Choke,2,3:22,6,3,1,3,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,3,Welterweight,170,Muslim Salikhov,Alex Garcia,0,SUB  Rear Naked Choke,2,3:22,10,0,0,2,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,4,Featherweight,145,Zabit Magomedsharipov,Sheymon Moraes,1,SUB  Anaconda Choke,3,4:30,34,11,1,10,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,4,Featherweight,145,Sheymon Moraes,Zabit Magomedsharipov,0,SUB  Anaconda Choke,3,4:30,18,0,0,1,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,5,Welterweight,170,Bobby Nash,Song Kenan,0,KO/TKO  Punches,1,0:15,1,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,5,Welterweight,170,Song Kenan,Bobby Nash,1,KO/TKO  Punches,1,0:15,14,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,6,Women's Strawweight,115,Kailin Curran,Yan Xiaonan,0,U-DEC,3,5:00,52,2,0,2,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,6,Women's Strawweight,115,Yan Xiaonan,Kailin Curran,1,U-DEC,3,5:00,96,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,7,Featherweight,145,Bharat Kandare,Song Yadong,0,SUB  Guillotine Choke,1,4:16,3,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,7,Featherweight,145,Song Yadong,Bharat Kandare,1,SUB  Guillotine Choke,1,4:16,8,0,1,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,8,Heavyweight,265,Chase Sherman,Shamil Abdurakhimov,0,KO/TKO  Punches,1,1:24,5,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,8,Heavyweight,265,Shamil Abdurakhimov,Chase Sherman,1,KO/TKO  Punches,1,1:24,6,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,9,Women's Bantamweight,135,Wu Yanan,Gina Mazany,0,U-DEC,3,5:00,22,1,0,1,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,9,Women's Bantamweight,135,Gina Mazany,Wu Yanan,1,U-DEC,3,5:00,38,5,0,1,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,10,Featherweight,145,Wuliji Buren,Rolando Dy,0,U-DEC,3,5:00,17,4,0,2,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,10,Featherweight,145,Rolando Dy,Wuliji Buren,1,U-DEC,3,5:00,26,0,0,1,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,11,Heavyweight,265,Cyril Asker,Hu Yaozong,1,SUB  Rear Naked Choke,2,2:33,20,4,1,3,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,11/25/2017,11,Heavyweight,265,Hu Yaozong,Cyril Asker,0,SUB  Rear Naked Choke,2,2:33,8,0,1,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Werdum vs. Tybura,11/18/2017,0,Heavyweight,265,Fabricio Werdum,Marcin Tybura,1,U-DEC,5,5:00,155,1,0,2,http://www.fightmetric.com/event-details/caced97768818230
UFC Fight Night: Werdum vs. Tybura,11/18/2017,0,Heavyweight,265,Marcin Tybura,Fabricio Werdum,0,U-DEC,5,5:00,127,1,0,0,http://www.fightmetric.com/event-details/caced97768818230
UFC Fight Night: Werdum vs. Tybura,11/18/2017,1,Women's Flyweight,125,Jessica-Rose Clark,Bec Rawlings,1,S-DEC,3,5:00,101,2,1,3,http://www.fightmetric.com/event-details/caced97768818230
UFC Fight Night: Werdum vs. Tybura,11/18/2017,1,Women's Flyweight,125,Bec Rawlings,Jessica-Rose Clark,0,S-DEC,3,5:00,65,2,1,2,http://www.fightmetric.com/event-details/caced97768818230
UFC Fight Night: Werdum vs. Tybura,11/18/2017,2,Welterweight,170,Belal Muhammad,Tim Means,1,S-DEC,3,5:00,88,1,0,1,http://www.fightmetric.com/event-details/caced97768818230
UFC Fight Night: Werdum vs. Tybura,11/18/2017,2,Welterweight,170,Tim Means,Belal Muhammad,0,S-DEC,3,5:00,91,0,0,0,http://www.fightmetric.com/event-details/caced97768818230
UFC Fight Night: Werdum vs. Tybura,11/18/2017,3,Welterweight,170,Jake Matthews,Bojan Velickovic,1,S-DEC,3,5:00,20,4,0,4,http://www.fightmetric.com/event-details/caced97768818230
